Introduction to Thermodynamics and Heat Transfer,Textbook,Exact Sciences,2008,Cengel
Heat and Mass Transfer: Fundamentals & Applications,Textbook,Exact Sciences,2015,Cengel
C++: How to Program,Textbook,Exact Sciences,2011,Deitel
Object-Oriented and Classical Software Engineering,Textbook,Exact Sciences,2010,Schach
Applied Numerical Methods with MATLAB for Engineers and Scientists,Textbook,Exact Sciences,2012,Chapra
Control System Engineering,Textbook,Exact Sciences,2011,Nise
Computer Organization and Design,Textbook,Exact Sciences,2005,Patterson
Database Management Systems,Textbook,Exact Sciences,2002,Ramakrishnan
An Introduction to XML Data Binding in C++,Article,Exact Sciences,2007,Kolpachov
 A Brief Introduction to Rvalue References,Article,Exact Sciences,2008,Hinnant
Safe Labels in C++,Article,Exact Sciences,2007,Pikus
Pure Virtual Function Called An Explanation,Article,Exact Sciences,2007,Chisholm
Presentation Materials: Effective C++ in an Embedded Environment,Textbook,Exact Sciences,2012,Meyers
Is Android the new Windows?,Academic Journal,Exact Sciences,2013,Nicholson
Mathematical Journal: An Annotated Guide,Academic Journal,Exact Sciences,1992,Liang
The Internet Operating System,Academic Journal,Exact Sciences,2012,Nicholson
The Magic of the App,Academic Journal,Exact Sciences,2012,Nicholson
Biology: Concepts and Applications,Textbook,Biologic Sciences,2003,Starr
Biology: Scientific Process and Social Issues,Textbook,Biologic Sciences,2001,Allen
Biology: Science and Life,Textbook,Biologic Sciences,1996,Cummings
Biology: The Unity and Diversity of Life,Textbook,Biologic Sciences,1984,Starr
Biology: Evolution Diversity and the Environment,Textbook,Biologic Sciences,1985,Mader
Errant Life Molecular Biology and Biopower,Academic Journal,Biologic Sciences,2014,Talcott
ISCB Ebola Award for Important Future Research on the Computational Biology of Ebola Virus,Academic Journal,Biologic Sciences,2015,Karp
Advances in Biology and Mechanics of Rotator Cuff Repair,Academic Journal,Biologic Sciences,2015,Lorbach
Identifying the Role of Conservation Biology for Solving the Environmental Crisis,Academic Journal,Biologic Sciences,2014,Dalerum
Lipids in the Nervous System: From Biochemistry and Molecular Biology to Patho-Phisiology,Academic Journal,Biologic Sciences,2015,Cermenati
Calculus: Single Variable,Textbook,Exact Sciences,2005,Anton
Calculus: Early Transcedentals,Textbook,Exact Sciences,2008,Edwards
Calculus: Concepts and Contexts,Textbook,Exact Sciences,1998,Stewart
Calculus: The Analysis of Functions,Textbook,Exact Sciences,1992,Taylor
Unifying the Algebra for Movement,Academic Journal,Exact Sciences,2015,Eddy
Elementary Linear Algebra,Textbook,Exact Sciences,2001,Nicholson
Linear Time-Invariant Systems,Textbook,Exact Sciences,2003,Schetzen
Non-Oscillation of Half-Linear Differential Equations with Periodic Coefficients,Academic Journal,Exact Sciences,2015,Hasil
Conditional oscillation of half-linearÿEuler-type dynamic equations on time scales,Academic Journal,Exact Sciences,2015,Hasil
Linear Geometry,Textbook,Exact Sciences,1997,Gruenberg
